n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,wind_p50_era5,wind_p50_conus404,wind_p50_difference,wind_p50_percent_bias,wind_p75_era5,wind_p75_conus404,wind_p75_difference,wind_p75_percent_bias,wind_p90_era5,wind_p90_conus404,wind_p90_difference,wind_p90_percent_bias,wind_p95_era5,wind_p95_conus404,wind_p95_difference,wind_p95_percent_bias,wind_p99_era5,wind_p99_conus404,wind_p99_difference,wind_p99_percent_bias,era5_wind_ge_5ms_frequency,conus404_wind_ge_5ms_frequency,wind_ge_5ms_frequency_difference,era5_wind_ge_10ms_frequency,conus404_wind_ge_10ms_frequency,wind_ge_10ms_frequency_difference,era5_wind_ge_15ms_frequency,conus404_wind_ge_15ms_frequency,wind_ge_15ms_frequency_difference,era5_wind_ge_20ms_frequency,conus404_wind_ge_20ms_frequency,wind_ge_20ms_frequency_difference,year,variable,variable_name,units,metric_type
366,0.954401,0.737201,-0.217200,0.399985,0.492047,0.573952,0.000000,0.329421,0.956866,366,366,-0.217200,0.514228,0.427857,0.832038,0.204918,0.000000,0.893663,0.655703,-0.237960,-26.627512,1.239723,1.013177,-0.226546,-18.273920,1.750286,1.371827,-0.378459,-21.622679,1.973101,1.566164,-0.406938,-20.624260,2.240104,1.838854,-0.401250,-17.912096,0.893663,0.655703,-0.237960,-26.627512,1.239723,1.013177,-0.226546,-18.273920,1.750286,1.371827,-0.378459,-21.622679,1.973101,1.566164,-0.406938,-20.624260,2.240104,1.838854,-0.401250,-17.912096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.914051,0.727303,-0.186747,0.395343,0.484640,0.532872,0.000000,0.283953,0.980799,365,365,-0.186748,0.494127,0.421957,0.853943,0.197260,0.000001,0.847935,0.659773,-0.188162,-22.190584,1.179497,0.990447,-0.189050,-16.027992,1.601103,1.359717,-0.241386,-15.076208,1.777471,1.523869,-0.253602,-14.267582,2.347619,1.826680,-0.520939,-22.190084,0.847935,0.659773,-0.188162,-22.190584,1.179497,0.990447,-0.189050,-16.027992,1.601103,1.359717,-0.241386,-15.076208,1.777471,1.523869,-0.253602,-14.267582,2.347619,1.826680,-0.520939,-22.190084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2001,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.978869,0.840535,-0.138334,0.429617,0.533219,0.494238,0.000000,0.244272,0.950690,365,365,-0.138334,0.560876,0.442881,0.789622,0.106849,0.030924,0.894516,0.801814,-0.092702,-10.363363,1.282087,1.149815,-0.132272,-10.316944,1.794445,1.436599,-0.357847,-19.941914,2.082448,1.611713,-0.470736,-22.604923,2.502935,1.925261,-0.577674,-23.079861,0.894516,0.801814,-0.092702,-10.363363,1.282087,1.149815,-0.132272,-10.316944,1.794445,1.436599,-0.357847,-19.941914,2.082448,1.611713,-0.470736,-22.604923,2.502935,1.925261,-0.577674,-23.079861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2002,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.957429,0.777950,-0.179479,0.394739,0.485662,0.601353,0.000000,0.361625,0.888274,365,365,-0.179479,0.546748,0.442030,0.808470,0.153425,0.000363,0.857382,0.719891,-0.137491,-16.036118,1.239699,1.035755,-0.203944,-16.451097,1.638268,1.379626,-0.258642,-15.787503,1.992561,1.645213,-0.347348,-17.432224,2.713567,1.961518,-0.752049,-27.714399,0.857382,0.719891,-0.137491,-16.036118,1.239699,1.035755,-0.203944,-16.451097,1.638268,1.379626,-0.258642,-15.787503,1.992561,1.645213,-0.347348,-17.432224,2.713567,1.961518,-0.752049,-27.714399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2003,wind_speed,10m Wind Speed,m/s,derived_wind_speed
338,0.962947,0.811457,-0.151490,0.396474,0.489707,0.555643,0.000000,0.308739,0.917523,338,338,-0.151490,0.533727,0.437798,0.820265,0.127219,0.008363,0.864428,0.755446,-0.108981,-12.607329,1.279945,1.063586,-0.216359,-16.903788,1.706163,1.424526,-0.281637,-16.507038,2.021786,1.595050,-0.426736,-21.106886,2.497123,2.029506,-0.467617,-18.726213,0.864428,0.755446,-0.108981,-12.607329,1.279945,1.063586,-0.216359,-16.903788,1.706163,1.424526,-0.281637,-16.507038,2.021786,1.595050,-0.426736,-21.106886,2.497123,2.029506,-0.467617,-18.726213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2004,wind_speed,10m Wind Speed,m/s,derived_wind_speed
333,0.900178,0.790637,-0.109542,0.335683,0.416510,0.663852,0.000000,0.440699,0.799096,333,333,-0.109542,0.521226,0.443650,0.851166,0.105105,0.050449,0.811280,0.707529,-0.103751,-12.788588,1.194030,1.070307,-0.123723,-10.361775,1.557011,1.437637,-0.119373,-7.666835,1.839867,1.609188,-0.230678,-12.537781,2.389543,1.920311,-0.469232,-19.636894,0.811280,0.707529,-0.103751,-12.788588,1.194030,1.070307,-0.123723,-10.361775,1.557011,1.437637,-0.119373,-7.666835,1.839867,1.609188,-0.230678,-12.537781,2.389543,1.920311,-0.469232,-19.636894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2005,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.994456,0.814546,-0.179910,0.403104,0.500174,0.555027,0.000000,0.308054,0.951528,365,365,-0.179910,0.525653,0.454889,0.865379,0.194521,0.000002,0.914063,0.728660,-0.185403,-20.283371,1.369775,1.091418,-0.278357,-20.321348,1.650967,1.437034,-0.213933,-12.958071,1.925501,1.592427,-0.333074,-17.298048,2.515914,2.075975,-0.439939,-17.486250,0.914063,0.728660,-0.185403,-20.283371,1.369775,1.091418,-0.278357,-20.321348,1.650967,1.437034,-0.213933,-12.958071,1.925501,1.592427,-0.333074,-17.298048,2.515914,2.075975,-0.439939,-17.486250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2006,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.901624,0.826741,-0.074884,0.401311,0.487583,0.636915,0.000000,0.405661,0.807166,365,365,-0.074884,0.604068,0.508257,0.841391,0.076712,0.233280,0.758759,0.746460,-0.012299,-1.620975,1.169781,1.107143,-0.062637,-5.354621,1.828147,1.494126,-0.334021,-18.271021,2.100015,1.817773,-0.282242,-13.439981,2.704617,2.454304,-0.250314,-9.255045,0.758759,0.746460,-0.012299,-1.620975,1.169781,1.107143,-0.062637,-5.354621,1.828147,1.494126,-0.334021,-18.271021,2.100015,1.817773,-0.282242,-13.439981,2.704617,2.454304,-0.250314,-9.255045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2007,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.994302,0.843218,-0.151084,0.424378,0.517283,0.519688,0.000000,0.270076,0.988740,365,365,-0.151084,0.523174,0.483942,0.925012,0.161644,0.000140,0.940165,0.751101,-0.189064,-20.109634,1.295734,1.209529,-0.086205,-6.653014,1.733080,1.550539,-0.182541,-10.532739,1.988814,1.707369,-0.281445,-14.151410,2.459078,2.049922,-0.409156,-16.638596,0.940165,0.751101,-0.189064,-20.109634,1.295734,1.209529,-0.086205,-6.653014,1.733080,1.550539,-0.182541,-10.532739,1.988814,1.707369,-0.281445,-14.151410,2.459078,2.049922,-0.409156,-16.638596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2008,wind_speed,10m Wind Speed,m/s,derived_wind_speed
363,0.946632,0.749185,-0.197447,0.419341,0.514931,0.524700,0.000000,0.275310,1.004560,363,363,-0.197447,0.512594,0.458048,0.893589,0.195592,0.000002,0.872453,0.680061,-0.192392,-22.051838,1.228722,1.034221,-0.194501,-15.829551,1.598533,1.360420,-0.238112,-14.895686,1.920453,1.632158,-0.288296,-15.011859,2.579745,2.011394,-0.568351,-22.031286,0.872453,0.680061,-0.192392,-22.051838,1.228722,1.034221,-0.194501,-15.829551,1.598533,1.360420,-0.238112,-14.895686,1.920453,1.632158,-0.288296,-15.011859,2.579745,2.011394,-0.568351,-22.031286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2009,wind_speed,10m Wind Speed,m/s,derived_wind_speed
