n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,variable,variable_name,units,metric_type,n_matched
365,1.136164,0.662380,-0.473784,0.473784,0.475141,0.999115,0.000000,0.998231,1.656702,365,365,-0.473784,0.286799,0.320331,1.116917,0.654795,0.000000,1.035601,0.541376,-0.494225,-47.723492,1.419498,0.977272,-0.442226,-31.153673,1.574005,1.158732,-0.415273,-26.383221,1.598887,1.186281,-0.412607,-25.805866,1.619166,1.208193,-0.410973,-25.381746,1983,lai,Leaf Area Index,Index,temporal_spatial_mean,365
366,285.814240,285.501343,-0.312897,0.597547,0.718646,0.997685,0.000000,0.995375,0.099712,366,366,-0.312897,7.207248,6.768316,0.939099,0.095628,0.070340,285.641479,285.349365,-0.292114,-0.102266,292.802643,291.930908,-0.871735,-0.297721,295.500366,294.747894,-0.752472,-0.254643,296.077728,295.129181,-0.948547,-0.320371,296.539124,295.653412,-0.885712,-0.298683,1984,t2m,2m Temperature,K,temporal_spatial_mean,366
366,279.537750,280.205231,0.667455,0.814797,1.001537,0.996867,0.000000,0.993745,0.152257,366,366,0.667480,6.577935,6.021681,0.915436,0.084699,0.144793,278.544830,279.501373,0.956543,0.343407,286.135193,286.120850,-0.014343,-0.005013,288.417694,288.201904,-0.215790,-0.074818,289.045410,288.853394,-0.192017,-0.066431,290.010406,289.662811,-0.347595,-0.119856,1984,d2m,2m Dewpoint,K,temporal_spatial_mean,366
366,956.016724,966.920776,10.904054,10.904054,10.933101,0.969877,0.000000,0.940662,3.662481,366,366,10.904053,2.985162,2.570396,0.861057,0.953552,0.000000,956.015625,966.792175,10.776550,1.127236,957.688354,968.300659,10.612305,1.108117,959.748413,969.968750,10.220337,1.064898,961.007324,971.360107,10.352783,1.077285,963.641663,974.520325,10.878662,1.128912,1984,sp,Surface Pressure,hPa,temporal_spatial_mean,366
366,0.380067,0.099630,-0.280437,0.377150,0.447708,0.871656,0.000000,0.759785,0.637159,366,366,-0.280437,0.702664,0.555960,0.791218,0.224044,0.000000,0.360242,0.011233,-0.349009,-96.881836,0.869976,0.484516,-0.385460,-44.306973,1.307450,0.851430,-0.456020,-34.878578,1.552458,1.111128,-0.441330,-28.427841,1.939603,1.437899,-0.501704,-25.866318,1984,u10,10m U-Wind,m/s,temporal_spatial_mean,366
366,-0.059752,-0.472811,-0.413059,0.486021,0.591850,0.789800,0.000000,0.623785,0.859287,366,366,-0.413059,0.688768,0.509479,0.739695,0.297814,0.000000,-0.052043,-0.451925,-0.399882,-768.364258,0.453517,-0.096866,-0.550383,-121.358727,0.823778,0.161048,-0.662730,-80.450119,1.007716,0.300588,-0.707129,-70.171410,1.311043,0.501434,-0.809608,-61.753021,1984,v10,10m V-Wind,m/s,temporal_spatial_mean,366
366,1.135380,0.661580,-0.473801,0.473801,0.475152,0.999110,0.000000,0.998220,1.656742,366,366,-0.473801,0.286799,0.320252,1.116642,0.655738,0.000000,1.034590,0.538970,-0.495621,-47.905025,1.417773,0.976069,-0.441704,-31.154764,1.574003,1.158585,-0.415419,-26.392488,1.598859,1.186167,-0.412691,-25.811626,1.619156,1.208158,-0.410998,-25.383482,1984,lai,Leaf Area Index,Index,temporal_spatial_mean,366
365,285.490021,285.205963,-0.284070,0.719646,0.840608,0.997220,0.000000,0.994448,0.107346,365,365,-0.284058,7.830794,7.274708,0.928987,0.073973,0.270996,287.129150,286.527161,-0.601990,-0.209658,292.548584,291.814331,-0.734253,-0.250985,295.102295,294.469360,-0.632935,-0.214480,295.876801,294.986664,-0.890137,-0.300847,296.559631,295.534149,-1.025482,-0.345793,1985,t2m,2m Temperature,K,temporal_spatial_mean,365
365,279.150909,279.766724,0.615825,0.759105,0.995418,0.996782,0.000000,0.993575,0.143545,365,365,0.615814,6.934546,6.362089,0.917448,0.084932,0.143755,280.489624,280.883484,0.393860,0.140419,285.337311,285.442963,0.105652,0.037027,287.908997,287.616760,-0.292236,-0.101503,288.407196,288.232697,-0.174500,-0.060505,288.801422,288.475586,-0.325836,-0.112824,1985,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,956.222107,967.199829,10.977758,10.977758,11.000972,0.965186,0.000000,0.931583,4.198712,365,365,10.977722,2.620083,2.327502,0.888332,0.969863,0.000000,956.141113,967.146545,11.005432,1.151026,957.619385,968.400024,10.780640,1.125775,959.670471,970.214233,10.543762,1.098686,960.821655,971.249634,10.427979,1.085319,963.029358,973.107483,10.078125,1.046502,1985,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.538508,0.166036,-0.372471,0.441925,0.531491,0.896371,0.000000,0.803480,0.650178,365,365,-0.372471,0.817455,0.621265,0.759999,0.254795,0.000000,0.448325,0.081992,-0.366333,-81.711525,1.001904,0.544911,-0.456993,-45.612457,1.683667,1.010514,-0.673153,-39.981377,2.076385,1.377747,-0.698638,-33.646862,2.772897,1.866789,-0.906108,-32.677315,1985,u10,10m U-Wind,m/s,temporal_spatial_mean,365
365,-0.055951,-0.472914,-0.416964,0.524448,0.623314,0.710079,0.000000,0.504212,0.947963,365,365,-0.416964,0.657530,0.484500,0.736848,0.364384,0.000000,0.016494,-0.416364,-0.432859,-2624.268799,0.424841,-0.126114,-0.550955,-129.684982,0.700697,0.082303,-0.618394,-88.254097,0.921898,0.223471,-0.698428,-75.759735,1.240953,0.517189,-0.723764,-58.323219,1985,v10,10m V-Wind,m/s,temporal_spatial_mean,365
365,1.136164,0.662401,-0.473763,0.473763,0.475118,0.999113,0.000000,0.998226,1.656624,365,365,-0.473763,0.286799,0.320310,1.116845,0.654795,0.000000,1.035601,0.541359,-0.494242,-47.725124,1.419498,0.977272,-0.442226,-31.153673,1.574005,1.158718,-0.415287,-26.384090,1.598887,1.186267,-0.412620,-25.806717,1.619166,1.208202,-0.410964,-25.381229,1985,lai,Leaf Area Index,Index,temporal_spatial_mean,365
365,286.252350,285.872162,-0.380189,0.655094,0.773321,0.996368,0.000000,0.992750,0.113517,365,365,-0.380188,6.812371,6.445559,0.946155,0.090411,0.101214,286.495697,286.422791,-0.072906,-0.025448,292.813721,291.954620,-0.859100,-0.293395,295.380249,294.545837,-0.834412,-0.282487,295.881317,295.128662,-0.752655,-0.254377,296.305756,295.483459,-0.822296,-0.277516,1986,t2m,2m Temperature,K,temporal_spatial_mean,365
365,280.119354,280.615143,0.495829,0.733025,0.892423,0.996056,0.000000,0.992127,0.144288,365,365,0.495789,6.185035,5.661256,0.915315,0.076712,0.233280,279.945923,281.101654,1.155731,0.412841,286.050934,285.927277,-0.123657,-0.043229,288.191528,287.917328,-0.274200,-0.095145,288.741241,288.259583,-0.481659,-0.166813,289.306000,288.701538,-0.604462,-0.208935,1986,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,956.310791,967.158630,10.847865,10.847865,10.876605,0.959443,0.000000,0.920531,4.165040,365,365,10.847839,2.611404,2.218395,0.849503,0.969863,0.000000,956.172791,967.037842,10.865051,1.136306,957.895142,968.543823,10.648682,1.111675,959.599060,970.084778,10.485718,1.092719,960.526917,970.753662,10.226746,1.064702,962.899780,972.586182,9.686401,1.005962,1986,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.433439,0.104414,-0.329026,0.373919,0.452836,0.879735,0.000000,0.773934,0.697001,365,365,-0.329026,0.649692,0.534404,0.822549,0.309589,0.000000,0.438147,0.052653,-0.385495,-87.982918,0.795555,0.381039,-0.414516,-52.104038,1.262900,0.773547,-0.489353,-38.748375,1.582590,1.085104,-0.497486,-31.434931,2.084356,1.688504,-0.395852,-18.991587,1986,u10,10m U-Wind,m/s,temporal_spatial_mean,365
365,0.006230,-0.334987,-0.341217,0.493763,0.590659,0.703900,0.000000,0.495476,0.882941,365,365,-0.341217,0.668968,0.552527,0.825940,0.257534,0.000000,0.002909,-0.312452,-0.315362,-10839.073242,0.467735,0.009844,-0.457892,-97.895462,0.874050,0.345914,-0.528136,-60.424038,1.070821,0.585442,-0.485379,-45.327744,1.645409,1.070786,-0.574623,-34.922821,1986,v10,10m V-Wind,m/s,temporal_spatial_mean,365
365,1.136164,0.662411,-0.473753,0.473753,0.475108,0.999115,0.000000,0.998230,1.656588,365,365,-0.473754,0.286799,0.320303,1.116821,0.654795,0.000000,1.035601,0.541461,-0.494140,-47.715271,1.419498,0.977272,-0.442226,-31.153673,1.574005,1.158720,-0.415285,-26.383991,1.598887,1.186280,-0.412607,-25.805882,1.619166,1.208190,-0.410976,-25.381929,1986,lai,Leaf Area Index,Index,temporal_spatial_mean,365
365,286.417694,286.164307,-0.253363,0.581060,0.696798,0.997667,0.000000,0.995340,0.098906,365,365,-0.253387,7.045032,6.592661,0.935789,0.101370,0.046942,286.962311,286.772980,-0.189331,-0.065978,293.137390,292.812469,-0.324921,-0.110842,295.448578,294.576172,-0.872406,-0.295282,296.008392,294.999603,-1.008789,-0.340797,296.655975,295.657928,-0.998047,-0.336432,1987,t2m,2m Temperature,K,temporal_spatial_mean,365
365,279.859711,280.531586,0.671876,0.874162,1.032639,0.996437,0.000000,0.992888,0.163839,365,365,0.671875,6.302770,5.703786,0.904965,0.101370,0.046942,279.407654,280.660187,1.252533,0.448282,286.283508,286.169617,-0.113892,-0.039783,288.109497,287.731354,-0.378143,-0.131250,289.264771,288.887085,-0.377686,-0.130567,289.606995,289.184967,-0.422028,-0.145724,1987,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,956.025269,966.916382,10.891209,10.891209,10.914530,0.964645,0.000000,0.930540,4.225195,365,365,10.891113,2.583201,2.279647,0.882489,0.972603,0.000000,955.806274,966.796021,10.989746,1.149788,957.633362,968.427490,10.794128,1.127167,959.562683,970.232239,10.669556,1.111919,960.592957,970.790283,10.197327,1.061566,961.942810,971.741577,9.798767,1.018643,1987,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.431654,0.156499,-0.275155,0.361956,0.441829,0.894353,0.000000,0.799867,0.583747,365,365,-0.275155,0.756884,0.607267,0.802326,0.224658,0.000000,0.375505,0.072169,-0.303336,-80.780861,0.906697,0.432387,-0.474310,-52.311844,1.361746,1.038198,-0.323549,-23.759846,1.636160,1.308657,-0.327503,-20.016542,2.410560,1.744766,-0.665794,-27.619883,1987,u10,10m U-Wind,m/s,temporal_spatial_mean,365
365,-0.217766,-0.568932,-0.351166,0.475587,0.559902,0.750425,0.000000,0.563138,0.866270,365,365,-0.351166,0.646337,0.572623,0.885952,0.257534,0.000000,-0.189324,-0.534042,-0.344717,-182.077438,0.263136,-0.171188,-0.434324,-165.056717,0.615889,0.204078,-0.411812,-66.864586,0.805511,0.301699,-0.503812,-62.545605,1.007086,0.508840,-0.498246,-49.474045,1987,v10,10m V-Wind,m/s,temporal_spatial_mean,365
365,1.136164,0.662384,-0.473780,0.473780,0.475136,0.999114,0.000000,0.998229,1.656685,365,365,-0.473781,0.286799,0.320314,1.116858,0.654795,0.000000,1.035601,0.541381,-0.494219,-47.722973,1.419498,0.977272,-0.442226,-31.153673,1.574005,1.158703,-0.415302,-26.385067,1.598887,1.186250,-0.412637,-25.807783,1.619166,1.208171,-0.410995,-25.383121,1987,lai,Leaf Area Index,Index,temporal_spatial_mean,365
366,286.005432,285.622284,-0.383135,0.635182,0.756424,0.997957,0.000000,0.995918,0.098504,366,366,-0.383148,7.679109,7.233682,0.941995,0.103825,0.038623,286.194458,285.682678,-0.511780,-0.178822,292.900024,292.140808,-0.759216,-0.259207,296.174561,295.096558,-1.078003,-0.363976,296.739807,295.695862,-1.043945,-0.351805,297.217377,296.256500,-0.960876,-0.323291,1988,t2m,2m Temperature,K,temporal_spatial_mean,366
366,279.049438,279.741455,0.691980,0.831081,1.002659,0.996648,0.000000,0.993307,0.146593,366,366,0.692017,6.839759,6.354891,0.929110,0.087432,0.121891,278.718170,279.976868,1.258698,0.451602,285.160522,285.578064,0.417542,0.146423,288.256134,288.118591,-0.137543,-0.047715,289.163391,288.581726,-0.581665,-0.201154,289.836243,289.273712,-0.562531,-0.194086,1988,d2m,2m Dewpoint,K,temporal_spatial_mean,366
366,956.305481,967.234985,10.929400,10.929400,10.956841,0.970113,0.000000,0.941119,3.649403,366,366,10.929504,3.002365,2.648432,0.882115,0.937158,0.000000,956.240845,967.173950,10.933105,1.143342,958.316956,968.930054,10.613098,1.107473,960.075806,970.709473,10.633667,1.107586,961.627441,971.721619,10.094177,1.049697,963.450745,973.407837,9.957092,1.033482,1988,sp,Surface Pressure,hPa,temporal_spatial_mean,366
366,0.514075,0.176508,-0.337566,0.393297,0.472925,0.862955,0.000000,0.744692,0.722122,366,366,-0.337566,0.654910,0.550891,0.841169,0.226776,0.000000,0.475233,0.172941,-0.302292,-63.609257,0.920861,0.551438,-0.369423,-40.117146,1.392563,0.853873,-0.538690,-38.683334,1.607809,1.110200,-0.497609,-30.949526,2.098642,1.505528,-0.593115,-28.261826,1988,u10,10m U-Wind,m/s,temporal_spatial_mean,366
366,-0.077343,-0.485806,-0.408463,0.489752,0.595054,0.808146,0.000000,0.653099,0.813658,366,366,-0.408463,0.731332,0.549689,0.751627,0.330601,0.000000,0.000559,-0.439129,-0.439688,-78640.148438,0.446213,-0.112882,-0.559095,-125.297745,0.795878,0.197204,-0.598674,-75.221855,1.005329,0.354679,-0.650650,-64.720123,1.378471,0.560087,-0.818384,-59.368954,1988,v10,10m V-Wind,m/s,temporal_spatial_mean,366
366,1.135380,0.661560,-0.473820,0.473820,0.475172,0.999110,0.000000,0.998221,1.656811,366,366,-0.473820,0.286799,0.320259,1.116668,0.655738,0.000000,1.034590,0.538954,-0.495636,-47.906502,1.417773,0.976069,-0.441704,-31.154764,1.574003,1.158575,-0.415428,-26.393103,1.598859,1.186152,-0.412706,-25.812559,1.619156,1.208129,-0.411026,-25.385233,1988,lai,Leaf Area Index,Index,temporal_spatial_mean,366
365,285.742310,285.374207,-0.368054,0.695139,0.827811,0.996726,0.000000,0.993462,0.106268,365,365,-0.368103,7.789832,7.373057,0.946498,0.073973,0.270996,287.100647,286.343872,-0.756775,-0.263592,292.623535,291.865967,-0.757568,-0.258888,295.285004,294.707062,-0.577942,-0.195723,296.294952,295.381836,-0.913116,-0.308178,296.855713,295.825592,-1.030121,-0.347011,1989,t2m,2m Temperature,K,temporal_spatial_mean,365
365,279.056152,279.779785,0.723623,0.812240,1.048523,0.995557,0.000000,0.991134,0.148688,365,365,0.723633,7.051841,6.653256,0.943478,0.068493,0.359160,279.468201,280.445465,0.977264,0.349687,285.635132,285.961151,0.326019,0.114138,288.193085,288.224426,0.031342,0.010875,288.824738,288.739258,-0.085480,-0.029596,289.539917,289.320984,-0.218933,-0.075614,1989,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,956.722961,967.643860,10.920819,10.920819,10.944738,0.969584,0.000000,0.940093,3.864292,365,365,10.920898,2.832275,2.540076,0.896833,0.961644,0.000000,956.503296,967.432251,10.928955,1.142595,958.250244,969.082214,10.831970,1.130391,959.961853,970.571106,10.609253,1.105174,961.527710,971.986816,10.459106,1.087759,965.627136,975.202881,9.575745,0.991661,1989,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.468318,0.127343,-0.340976,0.409320,0.486195,0.870341,0.000000,0.757493,0.702054,365,365,-0.340976,0.692532,0.540977,0.781158,0.260274,0.000000,0.469185,0.070774,-0.398411,-84.915604,0.934379,0.459476,-0.474903,-50.825497,1.326920,0.823135,-0.503785,-37.966492,1.678345,1.103561,-0.574785,-34.247093,2.250445,1.624027,-0.626418,-27.835279,1989,u10,10m U-Wind,m/s,temporal_spatial_mean,365
