n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,season,variable,variable_name,units
92,1.071447,0.579696,-0.491752,0.491752,0.491946,0.998165,0.000000,0.996334,2.967400,92,92,-0.491752,0.165783,0.174964,1.055379,0.902174,0.000000,1.039403,0.528527,-0.510876,-49.150936,1.212397,0.724591,-0.487806,-40.234814,1.317859,0.848166,-0.469693,-35.640617,1.353485,0.891342,-0.462143,-34.144669,1.381986,0.925888,-0.456097,-33.003029,1980,Spring,lai,Leaf Area Index,Index
92,1.543955,1.122738,-0.421217,0.421217,0.421351,0.998138,0.000000,0.996279,7.008057,92,92,-0.421217,0.060124,0.069988,1.164062,1.000000,0.000000,1.561647,1.144982,-0.416665,-26.681122,1.593155,1.178797,-0.414358,-26.008619,1.611411,1.200085,-0.411326,-25.525829,1.618217,1.206259,-0.411959,-25.457575,1.622969,1.212171,-0.410798,-25.311508,1980,Summer,lai,Leaf Area Index,Index
91,1.091397,0.608383,-0.483014,0.483014,0.483891,0.999800,0.000000,0.999600,2.719487,91,91,-0.483014,0.177934,0.206789,1.162166,0.824176,0.000000,1.029400,0.541798,-0.487602,-47.367577,1.246184,0.789526,-0.456658,-36.644508,1.368852,0.927034,-0.441818,-32.276527,1.401409,0.964713,-0.436697,-31.161259,1.427456,0.994855,-0.432600,-30.305698,1980,Autumn,lai,Leaf Area Index,Index
90,277.282288,277.627197,0.344942,0.603222,0.752007,0.983191,0.000000,0.966664,0.244712,90,90,0.344910,3.073022,2.658430,0.865087,0.133333,0.402289,277.006165,277.033325,0.027161,0.009805,279.110535,279.556641,0.446106,0.159831,281.461212,281.224640,-0.236572,-0.084051,282.649353,282.229309,-0.420044,-0.148610,284.101166,283.336029,-0.765137,-0.269318,1981,Winter,t2m,2m Temperature,K
92,285.316437,284.720306,-0.596124,0.723179,0.849597,0.989674,0.000000,0.979455,0.228251,92,92,-0.596130,3.722202,3.397750,0.912834,0.152174,0.238009,286.044739,284.630188,-1.414551,-0.494521,287.817474,287.279785,-0.537689,-0.186816,290.314087,289.545227,-0.768860,-0.264837,291.199554,290.398926,-0.800629,-0.274942,292.050201,291.160339,-0.889862,-0.304695,1981,Spring,t2m,2m Temperature,K
92,295.105377,294.213837,-0.891540,0.891540,0.973782,0.952399,0.000000,0.907064,0.830777,92,92,-0.891541,1.172133,1.276724,1.089231,0.326087,0.000100,295.142578,294.633972,-0.508606,-0.172326,296.045013,295.145477,-0.899536,-0.303851,296.497437,295.449768,-1.047668,-0.353348,296.627380,295.646484,-0.980896,-0.330683,296.862579,295.819885,-1.042694,-0.351238,1981,Summer,t2m,2m Temperature,K
91,287.149841,287.194641,0.044808,0.350117,0.421838,0.996664,0.000000,0.993340,0.100041,91,91,0.044800,4.216640,3.962734,0.939785,0.087912,0.876095,286.788513,287.314301,0.525787,0.183336,290.606812,290.406708,-0.200104,-0.068857,293.562164,293.053131,-0.509033,-0.173399,293.859619,293.393433,-0.466187,-0.158643,294.479187,293.676941,-0.802246,-0.272429,1981,Autumn,t2m,2m Temperature,K
90,271.917084,273.302155,1.385056,1.385056,1.504615,0.980958,0.000000,0.962279,0.507241,90,90,1.385071,2.966276,2.793229,0.941662,0.222222,0.023205,271.938568,273.016998,1.078430,0.396571,273.789673,275.315491,1.525818,0.557296,275.489868,276.697662,1.207794,0.438417,276.912109,278.119751,1.207642,0.436110,279.025696,279.799652,0.773956,0.277378,1981,Winter,d2m,2m Dewpoint,K
92,278.281158,279.085052,0.803935,0.848520,0.995136,0.991509,0.000000,0.983089,0.273753,92,92,0.803894,3.635164,3.257135,0.896008,0.184783,0.086376,278.581238,278.733643,0.152405,0.054707,280.541901,281.461426,0.919525,0.327767,282.740021,282.962524,0.222504,0.078695,285.003418,284.974457,-0.028961,-0.010162,285.970154,285.786346,-0.183807,-0.064275,1981,Spring,d2m,2m Dewpoint,K
92,287.921631,287.825226,-0.096440,0.247929,0.299934,0.971597,0.000000,0.944000,0.253579,92,92,-0.096405,1.182802,1.197326,1.012279,0.108696,0.651538,288.126740,288.180664,0.053925,0.018716,288.908173,288.745911,-0.162262,-0.056164,289.276947,289.109894,-0.167053,-0.057749,289.473633,289.243927,-0.229706,-0.079353,289.677246,289.406738,-0.270508,-0.093382,1981,Summer,d2m,2m Dewpoint,K
